CityStateID,Zip,Population,Latitude,Longitude
10047,01094,52,42.36481,-72.13548
10050,01095,14618,42.12763,-72.42994
10051,01096,2580,42.40968,-72.77213
10061,01097,143,42.17722,-72.83175
10062,01098,979,42.39551,-72.94315
9974,01103,2477,42.10443,-72.58997
9974,01104,23209,42.13326,-72.56733
9974,01105,11843,42.09911,-72.57865
9805,01106,15853,42.04877,-72.57163
9974,01107,12009,42.12116,-72.60642
9974,01108,27405,42.0814,-72.55866
9974,01109,31124,42.11839,-72.54876
9974,01118,14839,42.09476,-72.5253
9974,01119,13616,42.12452,-72.51126
9974,01128,2896,42.09497,-72.48806
9974,01129,5672,42.1211,-72.4877
9974,01144,0,42.10189,-72.59091
9784,01151,9606,42.15294,-72.50883
9902,01201,44848,42.45614,-73.28114
9604,01220,8074,42.62686,-73.11873
9615,01222,664,42.06242,-73.32146
9628,01223,2495,42.31118,-73.09835
9634,01224,228,42.50622,-73.19841
9672,01225,3216,42.56385,-73.1512
9687,01226,6256,42.47954,-73.15329
9741,01229,263,42.29411,-73.35227
9747,01230,8826,42.18197,-73.34244
9767,01235,2489,42.43181,-73.07336
9775,01236,1458,42.26923,-73.37999
9792,01237,2302,42.5529,-73.25373
9794,01238,5944,42.30072,-73.22553
9797,01240,5111,42.37567,-73.26466
9798,01242,29,42.3334,-73.24967
9831,01243,173,42.34752,-73.03467
9834,01244,271,42.10924,-73.27475
9844,01245,692,42.19043,-73.21579
9863,01247,14794,42.69813,-73.09264
9894,01253,936,42.20751,-73.1118
9917,01254,1036,42.37972,-73.36608
9934,01255,994,42.1068,-73.12213
9937,01256,795,42.59627,-73.01958
9941,01257,2348,42.0976,-73.37241
9958,01258,193,42.09396,-73.46616
9971,01259,688,42.07316,-73.23282
9963,01260,20,42.26663,-73.2712
9976,01262,1778,42.30433,-73.32013
9996,01264,188,42.23997,-73.19686
10031,01266,1000,42.30264,-73.39846
10052,01267,9633,42.66593,-73.24209
10056,01270,1036,42.51297,-73.04859
9748,01301,17876,42.62375,-72.60379
9613,01330,1704,42.51772,-72.81556
9617,01331,13922,42.56793,-72.18324
9636,01337,2589,42.69512,-72.57731
9655,01338,95,42.5814,-72.80309
9665,01339,1313,42.61099,-72.88846
9680,01340,1759,42.68805,-72.73205
9682,01341,1622,42.50734,-72.70221
9690,01342,1267,42.54384,-72.6058
9700,01343,147,42.66766,-72.98822
9722,01344,1703,42.60756,-72.42916
9765,01346,454,42.6706,-72.81323
9789,01347,165,42.56027,-72.51321
9836,01349,741,42.56656,-72.47045
9841,01350,122,42.72259,-72.98291
9843,01351,2636,42.54162,-72.52069
9740,01354,1740,42.63282,-72.51136
9853,01355,958,42.45101,-72.33141
9884,01360,2872,42.67575,-72.446
9891,01364,7658,42.60449,-72.29263
9901,01366,1185,42.48858,-72.18564
9923,01367,563,42.69674,-72.91387
9927,01368,1455,42.67815,-72.18557
9942,01370,3878,42.59607,-72.72915
9955,01373,4860,42.47292,-72.61516
9982,01375,3641,42.46475,-72.55489
9994,01376,4976,42.59273,-72.54591
10008,01378,776,42.67711,-72.34057
10015,01379,778,42.54149,-72.3989
10016,01380,36,42.58675,-72.40264
9731,01420,41839,42.58559,-71.81693
9611,01430,6481,42.66069,-71.9232
9612,01431,3211,42.67652,-71.82322
9623,01432,8521,42.56351,-71.57059
9693,01434,1564,42.53149,-71.61663
9625,01436,3720,42.60579,-72.08958
9715,01438,330,42.56028,-72.03583
9737,01440,21276,42.58797,-71.98649
9749,01450,11356,42.61368,-71.56139
9758,01451,5487,42.50005,-71.57754
9776,01452,4371,42.48378,-72.00514
9799,01453,43851,42.51961,-71.76583
9804,01460,10280,42.53503,-71.4891
9808,01462,11919,42.58994,-71.72036
9900,01463,11697,42.67126,-71.60429
9944,01464,6976,42.57411,-71.6475
9987,01468,4183,42.55324,-72.06879
9992,01469,6820,42.66514,-71.69161
10040,01473,8374,42.55122,-71.90266
10033,01474,2280,42.67088,-71.7508
10054,01475,10265,42.66675,-72.04902
9620,01501,16877,42.19689,-71.84549
9635,01503,3378,42.38378,-71.63552
9639,01504,9255,42.0399,-71.53125
9646,01505,4948,42.35633,-71.72123
9653,01506,3460,42.19364,-72.10441
9667,01507,13435,42.13509,-71.96803
9678,01510,15563,42.4119,-71.68883
9706,01515,2166,42.20328,-72.04669
9697,01516,9376,42.0528,-71.75106
9730,01518,2598,42.11342,-72.11632
9744,01519,8058,42.20077,-71.67892
9769,01520,16912,42.33685,-71.85181
9770,01521,2583,42.06012,-72.16592
9787,01522,3152,42.38142,-71.87111
9791,01523,8606,42.48176,-71.68079
9796,01524,6327,42.24919,-71.91989
9803,01525,0,42.09899,-71.64296
9835,01527,13961,42.19228,-71.77397
9838,01529,3160,42.03906,-71.57767
9852,01531,973,42.31929,-72.12794
9882,01532,15750,42.32314,-71.64621
9883,01534,6230,42.13991,-71.64433
9867,01535,4760,42.2695,-72.07794
9874,01536,6860,42.23189,-71.69219
9876,01537,2278,42.16177,-71.89217
9895,01540,10979,42.11649,-71.85819
9909,01541,3529,42.45649,-71.88128
9918,01542,2615,42.20241,-71.90995
9929,01543,9353,42.38482,-71.96726
9945,01545,38876,42.28419,-71.71558
9970,01550,17928,42.06039,-72.03377
9959,01560,4984,42.17496,-71.67762
9962,01561,0,42.44581,-71.68845
9973,01562,12008,42.24715,-71.99189
9975,01564,8183,42.44124,-71.77297
9980,01566,7362,42.1047,-72.07745
9997,01568,8011,42.17694,-71.60516
9998,01569,14304,42.05895,-71.63741
10011,01570,17748,42.05206,-71.8485
9701,01571,11929,42.05501,-71.93519
10037,01581,21944,42.26815,-71.61402
10019,01583,7606,42.37034,-71.78502
10021,01585,4810,42.23762,-72.16311
10048,01588,10258,42.11837,-71.66836
9983,01590,9422,42.13387,-71.75179
10060,01602,27092,42.27219,-71.84946
10060,01603,20868,42.24373,-71.84429
