zip,population,latitude,longitude
01922,3450,42.75862,-70.91758
01923,27991,42.57398,-70.94923
01929,3621,42.63478,-70.77684
01930,30075,42.62605,-70.68966
01937,107,42.58579,-70.98406
01938,13930,42.68568,-70.83989
01940,13285,42.53523,-71.03695
01944,5403,42.58154,-70.76825
01945,20470,42.49924,-70.86348
01949,9816,42.6043,-71.01641
01950,18652,42.81237,-70.88785
01951,3327,42.77742,-70.85022
01952,9281,42.84655,-70.86163
01960,54474,42.53374,-70.97222
01965,671,42.56294,-70.82996
01966,7009,42.65432,-70.62227
01969,6251,42.72235,-70.88832
01970,44738,42.51298,-70.90266
01982,7680,42.62669,-70.85789
01983,6564,42.63728,-70.94251
01984,4929,42.60078,-70.8826
01985,4591,42.7939,-70.96906
02019,17410,42.0777,-71.47407
02021,24748,42.17504,-71.12645
02025,8427,42.23603,-70.81906
02026,25237,42.24665,-71.1777
02030,5930,42.2366,-71.28421
02032,4992,42.15489,-71.2155
02035,18615,42.06266,-71.24613
02038,33154,42.08622,-71.41126
02043,24283,42.21678,-70.88494
02045,10138,42.28437,-70.88266
02047,182,42.14582,-70.69603
02048,23931,42.01626,-71.21868
02050,25963,42.11443,-70.71487
02052,13068,42.1848,-71.30501
02053,13436,42.15352,-71.42906
02054,8888,42.1693,-71.36261
02056,11673,42.11632,-71.32952
02061,11361,42.16075,-70.81772
02062,31542,42.18563,-71.19464
02066,19099,42.20129,-70.76155
02067,18538,42.10778,-71.18183
02071,2089,42.10392,-71.27002
02072,29225,42.1192,-71.10189
02081,19343,42.14689,-71.25916
02090,16318,42.22024,-71.21057
02093,12297,42.05129,-71.35522
02108,3794,42.35657,-71.06516
02109,3612,42.36498,-71.05277
02110,2342,42.35797,-71.05189
02111,8407,42.35067,-71.06054
02113,6385,42.36526,-71.05524
02114,14418,42.36337,-71.06686
02115,29705,42.34046,-71.09481
02116,21978,42.35105,-71.07638
02118,28946,42.33806,-71.07057
02119,27377,42.32405,-71.08522
02120,15283,42.33212,-71.09654
02121,29040,42.3057,-71.08693
02122,23479,42.29427,-71.05185
02124,56216,42.28583,-71.07114
02125,33662,42.31578,-71.0562
02126,26583,42.27588,-71.0918
02127,36769,42.33455,-71.03875
02128,43345,42.37324,-71.01616
02129,20032,42.37975,-71.06167
02130,40055,42.30823,-71.11515
02131,31151,42.28392,-71.12468
02132,26444,42.27931,-71.16072
02133,62,42.35838,-71.06383
02134,17667,42.35855,-71.12931
02135,43149,42.34989,-71.15417
02136,37265,42.25505,-71.12662
02138,38509,42.37997,-71.13446
02139,40033,42.36224,-71.10253
02140,21204,42.39332,-71.13342
02141,14517,42.37041,-71.08218
02142,4737,42.36295,-71.08189
02143,25513,42.38142,-71.09677
02144,25448,42.40088,-71.122
02145,27495,42.39206,-71.0895
02148,65906,42.43048,-71.05762
02149,50045,42.40643,-71.05446
02150,39908,42.39587,-71.03251
02151,60012,42.41887,-71.004
02152,18759,42.37724,-70.98115
02155,61730,42.42324,-71.10878
02163,1817,42.36717,-71.12509
02169,62993,42.23971,-71.01802
02170,18809,42.26644,-71.01621
02171,20164,42.28709,-71.02604
02176,29650,42.45561,-71.05901
02180,23355,42.47396,-71.09705
02184,38899,42.20386,-71.0022
02186,28735,42.23854,-71.08464
02188,16179,42.20724,-70.95764
02189,14450,42.2111,-70.93135
02190,19695,42.16625,-70.95253
02191,8181,42.24434,-70.94378
02199,1292,42.34748,-71.08199
02203,0,42.36144,-71.05945
02205,0,42.34935,-71.05564
02210,6971,42.34815,-71.03942
02215,24581,42.34741,-71.10276
02301,68969,42.07791,-71.04223
02302,36417,42.08792,-70.99864
02322,4774,42.12666,-71.04922
02324,25704,41.97272,-70.97498
02325,2822,41.98875,-70.96449
02330,11712,41.87388,-70.7563
02332,16185,42.04651,-70.71388
02333,14401,42.03521,-70.94235
02338,7748,41.99138,-70.86326
02339,14845,42.12241,-70.85665
02341,10542,42.05604,-70.87251
02343,11346,42.14733,-71.00484
02346,24505,41.88034,-70.87446
02347,11944,41.83101,-70.9594
02350,118,42.02043,-70.84562
02351,17053,42.11805,-70.95905
02356,12475,42.05519,-71.12071
02357,1566,42.06224,-71.07751
02359,18382,42.06547,-70.8014
02360,63689,41.87817,-70.63089
02364,14027,41.98616,-70.74823
02366,264,41.84868,-70.6613
02367,2935,41.96345,-70.80975
02368,34912,42.17506,-71.05011
02370,17701,42.1295,-70.91002
02375,11275,42.01954,-71.10381
02379,7708,42.02139,-71.0267
02382,15295,42.08,-70.93993
02420,16215,42.45821,-71.21762
02421,18080,42.438,-71.23922
02445,22560,42.32581,-71.13319
02446,31310,42.3435,-71.12179
02451,17393,42.39859,-71.2573
02452,15808,42.39365,-71.2202
02453,31591,42.36918,-71.24101
02457,1881,42.29777,-71.26887
02458,13050,42.35294,-71.18763
02459,18449,42.31515,-71.19174
02460,10099,42.35206,-71.20835
02461,6975,42.31693,-71.20875
02462,1470,42.33102,-71.25599
02464,3833,42.31274,-71.21981
02465,11697,42.34969,-71.22646
02466,8679,42.34541,-71.24759
02467,23001,42.31725,-71.16096
02468,5773,42.32777,-71.23142
02472,35620,42.37,-71.17713
02474,28642,42.42053,-71.15666
02476,17708,42.41597,-71.17437
02478,27175,42.39602,-71.17955
02481,17415,42.31064,-71.27779
02482,11051,42.29455,-71.29859
02492,21424,42.27615,-71.24387
02493,11579,42.35893,-71.30009
02494,11035,42.29959,-71.2317
02532,13267,41.75111,-70.59713
02534,1369,41.66626,-70.61628
02535,2244,41.34896,-70.74629
02536,21328,41.59706,-70.56677
02537,6383,41.72882,-70.44317
02538,4074,41.77872,-70.65077
02539,5278,41.37994,-70.53227
02540,8104,41.57128,-70.62807
02542,882,41.70194,-70.54824
02543,747,41.48731,-70.74525
02553,30,41.71297,-70.62011
02554,14212,41.28555,-70.08043
02556,2868,41.63903,-70.62521
02557,1250,41.44218,-70.56648
02558,1734,41.74453,-70.65377
02559,2802,41.69237,-70.61374
02561,670,41.76782,-70.53281
02562,3402,41.78753,-70.52746
02563,10436,41.71995,-70.4818
02564,255,41.26552,-69.98608
02568,9412,41.44341,-70.61534
02571,11258,41.76184,-70.70138
02575,2718,41.39651,-70.65496
02576,4168,41.77807,-70.76338
02584,16,41.25753,-70.00522
02601,16071,41.66,-70.29327
02630,2371,41.69674,-70.3052
02631,10061,41.74673,-70.06894
02632,11685,41.66074,-70.34826
02633,4512,41.68949,-69.97397
02635,3577,41.62348,-70.44051
02637,227,41.70493,-70.27245
02638,3253,41.73225,-70.19459
02639,3808,41.66639,-70.13535
02641,316,41.75221,-70.15176
02642,5811,41.83976,-69.97711
02643,0,41.75534,-69.94002
02644,3700,41.68361,-70.51202
02645,11288,41.70352,-70.06215
02646,1846,41.67103,-70.07144
02647,209,41.63127,-70.30909
02648,7968,41.67237,-70.41545
02649,15384,41.61778,-70.49077
02650,1032,41.7036,-69.96589
02652,845,42.0428,-70.09276
02653,6443,41.76901,-69.9737
02655,4024,41.62972,-70.39263
02657,3703,42.06139,-70.19813
02659,1137,41.68258,-70.02234
02660,6381,41.70828,-70.15517
02663,443,41.90576,-69.989
02664,9949,41.67486,-70.19446
02666,863,41.98817,-70.04603
02667,3961,41.92937,-70.02074
02668,2820,41.70713,-70.36246
02670,1087,41.66,-70.17098
02671,818,41.66938,-70.11087
02672,0,41.6357,-70.31878
02673,8594,41.6557,-70.24447
02675,7297,41.70401,-70.22883
02702,4488,41.78452,-71.06112
02703,46713,41.93108,-71.29499
02713,23,41.42818,-70.89102
02715,3757,41.81681,-71.15064
02717,4797,41.75405,-70.98312
02718,6878,41.86902,-71.01128
02719,15903,41.63945,-70.87322
02720,30940,41.73095,-71.10932
02721,26521,41.67451,-71.14869
02723,17067,41.69237,-71.1309
02724,18505,41.68372,-71.17949
02725,2257,41.71253,-71.18426
02726,16041,41.76073,-71.14444
02738,5310,41.7092,-70.76362
02739,6634,41.6687,-70.81705
02740,46281,41.63802,-70.93839
02743,10519,41.71323,-70.90054
02744,12716,41.60789,-70.91286
02745,24519,41.70284,-70.94695
02746,17531,41.66474,-70.945
02747,22445,41.6577,-71.01202
02748,11281,41.56096,-70.97963
02760,29177,41.97004,-71.33586
02762,9943,42.01409,-71.33642
02763,1807,41.96666,-71.30743
02764,4436,41.8562,-71.16022
02766,19240,41.96402,-71.18418
02767,15599,41.93939,-71.05191
02769,13022,41.84394,-71.24559
02770,5809,41.75875,-70.84048
02771,15694,41.83787,-71.31736
02777,17359,41.75699,-71.21208
02779,6829,41.83492,-71.07543
02780,53461,41.90743,-71.11939
02790,16901,41.59967,-71.08266
02791,290,41.52262,-71.08266
02802,677,41.95221,-71.4559
02804,2609,41.43546,-71.77196
02806,17126,41.7443,-71.31453
02807,777,41.17762,-71.57854
02808,2657,41.40606,-71.74802
02809,22220,41.68266,-71.26938
02812,1479,41.47625,-71.66094
02813,8051,41.3971,-71.67003
02814,7587,41.89959,-71.69888
02815,161,41.77723,-71.66177
02816,33298,41.69035,-71.61954
02817,6647,41.6291,-71.66711
02818,19786,41.64214,-71.49307
02822,6539,41.56736,-71.63348
02823,59,41.73328,-71.54479
02824,448,41.99934,-71.56322
02825,6107,41.78212,-71.72596
02826,831,41.98248,-71.64539
02827,2469,41.69792,-71.73847
02828,7023,41.87672,-71.56065
02829,51,41.89377,-71.59129
02830,6637,41.98016,-71.6484
02831,3483,41.74461,-71.58442
02832,4998,41.50469,-71.72807
02833,499,41.48117,-71.77787
02835,5534,41.51479,-71.37742
02836,104,41.45145,-71.62027
02837,3584,41.51524,-71.16455
02838,3740,41.96552,-71.47628
02839,1525,41.9433,-71.64581
02840,23448,41.47838,-71.31993
02841,1426,41.51261,-71.32522
02842,16832,41.51739,-71.27667
02852,23406,41.58809,-71.46094
02857,8262,41.82705,-71.63083
02858,738,41.96354,-71.64893
02859,7018,41.9665,-71.7464
02860,47818,41.87036,-71.38855
02861,28124,41.87863,-71.35228
02863,22701,41.89005,-71.39336
02864,36820,41.97025,-71.41978
02865,18447,41.91251,-71.44822
02871,17488,41.58384,-71.2564
02872,156,41.61718,-71.32886
02873,124,41.5257,-71.77734
02874,6379,41.51543,-71.46985
02875,44,41.46052,-71.63848
02876,355,41.99801,-71.58301
02878,16189,41.60905,-71.17413
02879,21802,41.42865,-71.53837
02881,7687,41.4825,-71.52694
02882,13091,41.4253,-71.46816
02885,11144,41.72821,-71.26287
02886,31293,41.70493,-71.45892
02888,19134,41.74909,-71.41123
02889,27516,41.70602,-71.39106
02891,21587,41.36043,-71.79429
02892,5768,41.50226,-71.60174
02893,31173,41.69856,-71.51566
02894,831,41.44761,-71.69759
02895,43521,42.00103,-71.49923
02896,11583,41.97285,-71.55027
02898,1912,41.52184,-71.67166
02903,11836,41.81902,-71.41003
02904,32531,41.86058,-71.43539
02905,25012,41.78769,-71.39886
02906,26380,41.83964,-71.38963
02907,31461,41.79867,-71.42581
02908,39500,41.83877,-71.43926
02909,46014,41.81825,-71.45078
